"Total all parties","","377,594","71,264","812,848","603,310","1,865,016","30,455"
"Party","Member","Accommodation","Travel","Subtotal Parliamentary Service","Inter Parliamentary - Office of the Clerk"
"Wellington","Out of Wellington","Air","Surface"
"Act","Boscawen, John","7,253","1,848","11,166","6,516","26,783",""
"","Douglas, Roger","3,129","676","5,706","4,983","14,493",""
"","Garrett, David","1,300","1,907","8,166","10,420","21,793",""
"","Hide, Rodney","-","-","2,378","2,685","5,063",""
"","Roy, Heather","-","-","1,179","29","1,208",""
"Total Act","","11,682","4,431","28,594","24,633","69,340","-"
"Green","Clendon, David","5,176","558","7,457","2,937","16,128","10,166"
"","Delahunty, Catherine","6,625","963","8,732","4,230","20,550",""
"","Graham, Kennedy","3,933","1,058","6,206","2,819","14,016",""
"","Hague, Kevin","4,739","1,465","14,041","6,324","26,569",""
"","Hughes, Gareth","-","1,128","9,872","3,680","14,680",""
"","Kedgley, Sue","-","1,129","5,724","1,649","8,502",""
"","Locke, Keith","3,697","88","9,852","4,809","18,447",""
"","Norman, Russel","-","2,852","6,614","2,532","11,998",""
"","Turei, Metiria","4,859","1,094","10,466","5,651","22,070",""
"Total Green","","29,029","10,334","78,963","34,632","152,959","10,166"
"Labour","Ardern, Jacinda","3,276","528","6,781","3,836","14,421",""
"","Barker, Rick","2,382","1,413","12,057","5,772","21,623",""
"","Beaumont, Carol","5,600","258","9,626","4,145","19,628",""
"","Burns, Brendon","5,773","679","11,285","4,300","22,037",""
"","Carter, Chris","5,333","-","15,279","5,147","25,760",""
"","Chadwick, Stephanie","5,333","579","14,480","8,165","28,558",""
"","Chauvel, Charles","-","1,355","7,969","3,009","12,332",""
"","Choudhary, Ashraf","7,423","284","7,343","4,321","19,372",""
"","Cosgrove, Clayton","6,308","578","11,068","8,219","26,172",""
"","Cunliffe, David","2,844","364","6,216","3,849","13,274",""
"","Curran, Clare","3,536","427","9,039","5,396","18,397",""
"","Dalziel, Lianne","4,053","284","9,488","3,488","17,314",""
"","Davis, Kelvin","3,822","1,711","14,808","8,852","29,193",""
"","Dyson, Ruth","3,745","831","7,402","3,921","15,899",""
"","Fenton, Darien","2,418","400","6,232","4,948","13,997",""
"","Goff, Phil","5,073","628","22,548","39,715","67,964",""
"","Hawkins, George","4,792","284","7,273","5,566","17,916",""
"","Hipkins, Chris","-","582","669","6,516","7,767",""
"","Hodgson, Pete","3,004","-","9,921","2,868","15,793","9,405"
"","Horomia, Parekura","4,836","4,016","8,105","5,820","22,776",""
"","Hughes, Darren","1,956","1,449","6,642","7,682","17,728",""
"","Huo, Raymond","1,707","411","8,200","5,980","16,297",""
"","Jones, Shane","3,556","1,088","14,897","8,050","27,590",""
"","King, Annette","-","930","10,909","3,011","14,850",""
"","Laban, Winnie","-","284","6,153","3,390","9,827","160"
"","Lees-Galloway, Iain","6,400","-","1,925","2,748","11,073",""
"","Mackey, Moana","4,804","2,678","8,645","8,665","24,792",""
"","Mahuta, Nanaia","5,333","1,064","6,966","9,328","22,692",""
"","Mallard, Trevor","-","1,635","4,112","7,117","12,863",""
"","Moroney, Sue","8,342","404","5,963","4,302","19,010","398"
"","Nash, Stuart","4,176","693","5,428","4,306","14,603",""
"","O'Connor, Damien","5,825","-","11,176","8,833","25,834",""
"","Parker, David","5,763","542","9,406","6,030","21,741",""
"","Pillay, Lynne","4,923","427","8,299","5,174","18,822",""
"","Prasad, Rajen","2,702","284","7,040","8,102","18,128",""
"","Ririnui, Mita","4,800","284","9,655","8,785","23,525",""
"","Robertson, Grant","-","988","5,299","1,106","7,392",""
"","Robertson, Ross","3,556","284","12,940","10,772","27,553",""
